gouvernorat,chomscore,risk
Zaghouan,100.0,Low Risk
Tozeur,99.0,Low Risk
K�bili,98.2,Low Risk
Tataouine,96.7,Low Risk
Kef,96.7,Low Risk
Siliana,96.3,Low Risk
Monastir,95.2,Low Risk
B�ja,93.2,Low Risk
Mahdia,93.2,Low Risk
Sidi Bouzid,91.7,Low Risk
Gab�s,90.6,Low Risk
Bizerte,90.2,Low Risk
Kairouan,90.2,Low Risk
Medenine,90.0,Low Risk
L'Ariana,89.6,Low Risk
Jendouba,89.4,Low Risk
Gafsa,88.6,Low Risk
Manouba,88.6,Low Risk
Kasserine,88.2,Low Risk
Sousse,86.3,Low Risk
Nabeul,84.9,Low Risk
Sfax,83.7,Low Risk
Ben Arous,83.4,Low Risk
Tunis,68.0,Low Risk
national,0.0,Critical Risk
