year,quarter,gouvernorat,gender,education,metric,unit,value,source,is_post_revolution,is_covid_period,is_recent,gender_encoded,education_encoded,is_national,metric_encoded,is_augmented,quarter_num,value_normalized
2007,,Tunis,total,all,count_thousands,count,44.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0542
2008,,Tunis,total,all,count_thousands,count,48.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0593
2009,,Tunis,total,all,count_thousands,count,40.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0491
2010,,Tunis,total,all,count_thousands,count,53.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0657
2012,,Tunis,total,all,count_thousands,count,82.0,regional_annual,1,0,0,0,0,0,0,0,0,0.1028
2013,,Tunis,total,all,count_thousands,count,73.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0913
2014,,Tunis,total,all,count_thousands,count,57.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0708
2015,,Tunis,total,all,count_thousands,count,82.0,regional_annual,1,0,0,0,0,0,0,0,0,0.1028
2016,,Tunis,total,all,count_thousands,count,90.0,regional_annual,1,0,0,0,0,0,0,0,0,0.113
2007,,Sfax,total,all,count_thousands,count,31.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0376
2008,,Sfax,total,all,count_thousands,count,34.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0414
2009,,Sfax,total,all,count_thousands,count,39.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0478
2010,,Sfax,total,all,count_thousands,count,27.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0325
2012,,Sfax,total,all,count_thousands,count,40.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0491
2013,,Sfax,total,all,count_thousands,count,40.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0491
2014,,Sfax,total,all,count_thousands,count,40.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0491
2015,,Sfax,total,all,count_thousands,count,31.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0376
2016,,Sfax,total,all,count_thousands,count,35.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0427
2007,,Ben Arous,total,all,count_thousands,count,28.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0338
2008,,Ben Arous,total,all,count_thousands,count,26.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0312
